"Freq [GHz]","dB(S(1,1)) []"
1.225,-10.6052704589703
1.226,-10.4859027925745
1.227,-10.3679118963613
1.228,-10.2512759768081
1.229,-10.1359739799319
1.23,-10.0219855568972
1.231,-9.90929103131996
1.232,-9.79787136816195
1.233,-9.68770814411976
1.234,-9.57878351941944
1.235,-9.47108021093472
1.236,-9.36458146655168
1.237,-9.25927104070971
1.238,-9.15513317105247
1.239,-9.05215255612817
1.24,-8.95031433408203
1.241,-8.84960406228908
1.242,-8.7500076978771
1.243,-8.6515115790952
1.244,-8.55410240748506
1.245,-8.45776723081553
1.246,-8.36249342674357
1.247,-8.26826868716765
1.248,-8.17508100324122
1.249,-8.0829186510165
1.25,-7.9917701776908
1.251,-7.90162438842931
1.252,-7.81247033373979
1.253,-7.7242972973767
1.254,-7.63709478475306
1.255,-7.55085251184029
1.256,-7.46556039453699
1.257,-7.3812085384895
1.258,-7.29778722934677
1.259,-7.21528692343492
1.26,-7.13369823883609
1.261,-7.05301194685779
1.262,-6.9732189638801
1.263,-6.89431034356706
1.264,-6.81627726943217
1.265,-6.7391110477451
1.266,-6.66280310077024
1.267,-6.58734496032572
1.268,-6.51272826165437
1.269,-6.43894473759629
1.27,-6.36598621305474
1.271,-6.29384459974608
1.272,-6.22251189122635
1.273,-6.15198015818555
1.274,-6.08224154400257
1.275,-6.01328826055256
1.276,-5.9451125842603
1.277,-5.87770685239133
1.278,-5.81106345957504
1.279,-5.74517485455175
1.28,-5.6800335371382
1.281,-5.61563205540398
1.282,-5.55196300305317
1.283,-5.48901901700423
1.284,-5.42679277516252
1.285,-5.36527699437889
1.286,-5.30446442858825
1.287,-5.24434786712237
1.288,-5.18492013319088
1.289,-5.12617408252442
1.29,-5.0681026021745
1.291,-5.0106986094637
1.292,-4.9539550510814
1.293,-4.89786490231861
1.294,-4.84242116643674
1.295,-4.78761687416449
1.296,-4.73344508331789
1.297,-4.67989887853756
1.298,-4.62697137113811
1.299,-4.57465569906421
1.3,-4.52294502694853
1.301,-4.47183254626577
1.302,-4.42131147557835
1.303,-4.37137506086809
1.304,-4.32201657594956
1.305,-4.27322932295989
1.306,-4.22500663292027
1.307,-4.17734186636459
1.308,-4.13022841403056
1.309,-4.08365969760875
1.31,-4.03762917054528
1.311,-3.99213031889352
1.312,-3.94715666221111
1.313,-3.90270175449765
1.314,-3.85875918516936
1.315,-3.8153225800667
1.316,-3.77238560249121
1.317,-3.7299419542679
1.318,-3.68798537682951
1.319,-3.64650965231926
1.32,-3.60550860470883
1.321,-3.56497610092822
1.322,-3.52490605200449
1.323,-3.48529241420624
1.324,-3.44612919019118
1.325,-3.40741043015391
1.326,-3.36913023297129
1.327,-3.33128274734286
1.328,-3.29386217292404
1.329,-3.25686276144971
1.33,-3.22027881784609
1.331,-3.18410470132872
1.332,-3.14833482648489
1.333,-3.11296366433838
1.334,-3.07798574339506
1.335,-3.0433956506675
1.336,-3.00918803267731
1.337,-2.97535759643374
1.338,-2.9418991103871
1.339,-2.908807405356
1.34,-2.87607737542729
1.341,-2.84370397882746
1.342,-2.81168223876493
1.343,-2.78000724424201
1.344,-2.7486741508362
1.345,-2.7176781814498
1.346,-2.68701462702743
1.347,-2.65667884724085
1.348,-2.62666627114078
1.349,-2.5969723977752
1.35,-2.56759279677386
1.351,-2.53852310889877
1.352,-2.50975904656054
1.353,-2.48129639430033
1.354,-2.45313100923745
1.355,-2.4252588214824
1.356,-2.39767583451567
1.357,-2.37037812553205
1.358,-2.34336184575089
1.359,-2.31662322069199
1.36,-2.2901585504179
1.361,-2.26396420974236
1.362,-2.23803664840535
1.363,-2.21237239121505
1.364,-2.18696803815685
1.365,-2.16182026446995
1.366,-2.13692582069176
1.367,-2.11228153267052
1.368,-2.0878843015465
1.369,-2.06373110370222
1.37,-2.03981899068211
1.371,-2.01614508908197
1.372,-1.99270660040881
1.373,-1.96950080091131
1.374,-1.94652504138157
1.375,-1.92377674692852
1.376,-1.90125341672335
1.377,-1.87895262371765
1.378,-1.8568720143345
1.379,-1.83500930813317
1.38,-1.81336229744776
1.381,-1.79192884700034
1.382,-1.770706893489
1.383,-1.74969444515127
1.384,-1.72888958130343
1.385,-1.70829045185612
1.386,-1.68789527680666
1.387,-1.66770234570863
1.388,-1.64771001711904
1.389,-1.62791671802357
1.39,-1.60832094324036
1.391,-1.58892125480267
1.392,-1.56971628132082
1.393,-1.550704717324
1.394,-1.53188532258207
1.395,-1.51325692140801
1.396,-1.49481840194116
1.397,-1.47656871541186
1.398,-1.45850687538767
1.399,-1.44063195700173
1.4,-1.42294309616334
