Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
45.5,-10.14,-39.15
45.6,-10.14,-39.9
45.7,-10.14,-39.9
45.8,-10.4,-39.9
45.9,-10.4,-39.9
46,-10.4,-39.9
46.1,-10.4,-40.04
46.2,-10.4,-40.04
46.3,-10.4,-40.04
46.4,-10.4,-40.04
46.5,-10.4,-40.04
46.6,-10.4,-40.04
46.7,-10.4,-40.04
46.8,-10.4,-40.04
46.9,-10.99,-40.04
47,-10.99,-40.51
47.1,-10.99,-40.51
47.2,-10.99,-40.51
47.3,-10.99,-40.51
47.4,-10.99,-40.51
47.5,-10.99,-40.51
47.6,-10.99,-40.51
47.7,-10.99,-40.51
47.8,-10.99,-40.51
47.9,-10.99,-40.96
48,-10.99,-40.96
48.1,-10.99,-40.96
48.2,-10.99,-40.96
48.3,-10.99,-40.96
48.4,-10.99,-40.96
48.5,-10.99,-40.96
48.6,-10.99,-40.96
48.7,-10.99,-40.96
48.8,-10.99,-40.96
48.9,-10.99,-41.64
49,-10.99,-41.64
49.1,-11.51,-41.64
49.2,-11.51,-41.64
49.3,-11.51,-41.64
49.4,-11.51,-41.64
49.5,-11.51,-41.64
49.6,-11.51,-41.64
49.7,-11.51,-41.64
49.8,-11.51,-41.64
49.9,-11.51,-42.57
50,-11.78,-42.57
50.1,-11.78,-42.57
50.2,-11.78,-42.57
50.3,-11.78,-43.09
50.4,-11.78,-43.09
50.5,-11.78,-43.09
50.6,-11.78,-43.09
50.7,-11.78,-43.09
50.8,-11.78,-43.09
50.9,-11.78,-43.09
51,-12.02,-43.09
51.1,-12.02,-43.09
51.2,-12.02,-43.09
51.3,-12.02,-43.09
51.4,-12.02,-43.09
51.5,-12.02,-43.09
51.6,-12.02,-43.09
51.7,-12.02,-43.09
51.8,-12.02,-44.21
51.9,-12.02,-44.21
52,-12.02,-44.21
