"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
0.732,-21.5727722354114
0.733,-21.3700881720424
0.734,-21.1737558579252
0.735,-20.9834735416427
0.736,-20.7989617077513
0.737,-20.6199609742938
0.738,-20.4462302322464
0.739,-20.277544994443
0.74,-20.1136959264595
0.741,-19.9544875360457
0.742,-19.7997370011191
0.743,-19.6492731191939
0.744,-19.5029353635353
0.745,-19.360573033352
0.746,-19.2220444870626
0.747,-19.0872164491264
0.748,-18.9559633821736
0.749,-18.8281669172272
0.75,-18.7037153357202
0.751,-18.5825030977886
0.752,-18.4644304119965
0.753,-18.3494028422265
0.754,-18.2373309479734
0.755,-18.1281299547141
0.756,-18.0217194514074
0.757,-17.9180231125068
0.758,-17.8169684421605
0.759,-17.7184865385231
0.76,-17.6225118763315
0.761,-17.5289821060854
0.762,-17.4378378683533
0.763,-17.3490226218702
0.764,-17.2624824842336
0.765,-17.1781660841186
0.766,-17.0960244240441
0.767,-17.0160107528111
0.768,-16.9380804468224
0.769,-16.8621908995662
0.77,-16.7883014186115
0.771,-16.7163731295264
0.772,-16.6463688861817
0.773,-16.5782531869512
0.774,-16.5119920963628
0.775,-16.4475531717957
0.776,-16.3849053948512
0.777,-16.3240191070582
0.778,-16.2648659496027
0.779,-16.2074188067981
0.78,-16.1516517530323
0.781,-16.097540002955
0.782,-16.045059864683
0.783,-15.9941886958213
0.784,-15.9449048621135
0.785,-15.8971876985497
0.786,-15.8510174727727
0.787,-15.8063753506361
0.788,-15.7632433637804
0.789,-15.7216043790994
0.79,-15.6814420699833
0.791,-15.6427408892309
0.792,-15.6054860435305
0.793,-15.5696634694187
0.794,-15.5352598106306
0.795,-15.502262396763
0.796,-15.4706592231755
0.797,-15.440438932063
0.798,-15.4115907946331
0.799,-15.384104694332
0.8,-15.3579711110615
0.801,-15.3331811063358
0.802,-15.309726309332
0.803,-15.2875989037871
0.804,-15.2667916157009
0.805,-15.2472977018062
0.806,-15.2291109387693
0.807,-15.2122256130868
0.808,-15.1966365116471
0.809,-15.1823389129268
0.81,-15.1693285787946
0.811,-15.1576017468961
0.812,-15.1471551235948
0.813,-15.1379858774481
0.814,-15.1300916331951
0.815,-15.1234704662363
0.816,-15.1181208975883
0.817,-15.1140418892925
0.818,-15.1112328402644
0.819,-15.1096935825646
0.82,-15.10942437808
0.821,-15.1104259155973
0.822,-15.1126993082593
0.823,-15.1162460913881
0.824,-15.121068220665
0.825,-15.1271680706546
0.826,-15.1345484336624
0.827,-15.1432125189145
0.828,-15.1531639520492
0.829,-15.1644067749102
0.83,-15.176945445631
0.831,-15.1907848390003
0.832,-15.2059302470984
0.833,-15.2223873801941
0.834,-15.2401623678912
0.835,-15.259261760515
0.836,-15.2796925307251
0.837,-15.3014620753453
0.838,-15.3245782173961
0.839,-15.3490492083162
