Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
108,-21.52058727,-50.58476021
109,-21.7288882,-51.20171488
110,-21.93461104,-51.88775024
111,-22.13776497,-52.6553098
112,-22.33839785,-53.52050721
113,-22.53659951,-54.5047454
114,-22.73250472,-55.63727631
115,-22.92629582,-56.95935424
116,-23.11820509,-58.53102865
117,-23.30851668,-60.44150466
118,-23.49756845,-62.81757794
119,-23.68575353,-65.76357627
120,-23.87352179,-68.72530041
121,-24.06138139,-68.83930257
122,-24.24990048,-65.9477335
123,-24.43970919,-62.99075108
124,-24.63150208,-60.60500194
125,-24.82604121,-58.695256
126,-25.02415999,-57.13400174
127,-25.22676801,-55.83118008
128,-25.43485699,-54.72651123
129,-25.6495081,-53.77897718
130,-25.87190094,-52.95986541
131,-26.10332443,-52.24851459
132,-26.34519005,-51.6296979
133,-26.59904785,-51.09197296
134,-26.86660599,-50.62661121
135,-27.14975455,-50.2268844
136,-27.45059481,-49.88757749
137,-27.77147536,-49.60464966
138,-28.11503716,-49.3749949
139,-28.48427,-49.19627151
140,-28.88258402,-49.06678074
141,-29.31390091,-48.98538176
142,-29.78277119,-48.95143439
143,-30.29452598,-48.96476425
144,-30.85547459,-49.02564691
145,-31.47316173,-49.13480949
146,-32.15670052,-49.29344897
147,-32.91719374,-49.50326818
148,-33.76823489,-49.76653098
149,-34.72640383,-50.08613933
150,-35.81142693,-50.46573556
151,-37.0449112,-50.90983304
152,-38.44421997,-51.42397672
153,-40.00110206,-52.01492771
154,-41.61782614,-52.69084705
155,-42.96767652,-53.46140341
156,-43.44225709,-54.33760285
157,-42.70990702,-55.3308183
158,-41.21314717,-56.44969234
159,-39.530671,-57.6916345
160,-37.93898535,-59.02151698
161,-36.51360951,-60.3257985
162,-35.2564416,-61.34953732
163,-34.14940393,-61.73027879
164,-33.17188195,-61.28922779
165,-32.30556559,-60.24540694
166,-31.53532627,-58.95852076
167,-30.84895473,-57.66458451
168,-30.23665221,-56.46430332
169,-29.69054131,-55.38685256
170,-29.20426121,-54.43237814
171,-28.77265003,-53.59122851
172,-28.39150042,-52.85153868
173,-28.05737253,-52.20195474
174,-27.7674512,-51.63245578
175,-27.51943646,-51.13446339
176,-27.31145963,-50.70070607
177,-27.14201906,-50.32501866
178,-27.00993106,-50.002143
179,-26.91429316,-49.72755076
180,-26.85445701,-49.49729223
